,m,n,snr,snr2,p,nsspecfit_slope,nsspecfit_intercept,nsspecfit_r2
74,100,100,3.000000,1.000000,0.950000,1.053431,-0.065232,0.999073
75,100,100,3.000000,1.000000,1.000000,1.017056,-0.004749,0.999353
76,100,100,3.000000,2.000000,0.100000,3.698976,-4.981623,0.983747
77,100,100,3.000000,2.000000,0.150000,3.007712,-3.657966,0.987613
78,100,100,3.000000,2.000000,0.200000,2.636096,-2.921063,0.992956
79,100,100,3.000000,2.000000,0.250000,2.343809,-2.387258,0.993973
80,100,100,3.000000,2.000000,0.300000,2.053492,-1.887812,0.995103
81,100,100,3.000000,2.000000,0.350000,1.935630,-1.651537,0.995553
82,100,100,3.000000,2.000000,0.400000,1.805650,-1.390346,0.995436
83,100,100,3.000000,2.000000,0.450000,1.677267,-1.169114,0.995779
84,100,100,3.000000,2.000000,0.500000,1.577982,-0.986076,0.996414
85,100,100,3.000000,2.000000,0.550000,1.517750,-0.860137,0.995518
86,100,100,3.000000,2.000000,0.600000,1.439426,-0.714979,0.995613
87,100,100,3.000000,2.000000,0.650000,1.378072,-0.603540,0.994874
88,100,100,3.000000,2.000000,0.700000,1.304500,-0.480823,0.994322
89,100,100,3.000000,2.000000,0.750000,1.265038,-0.400475,0.993404
90,100,100,3.000000,2.000000,0.800000,1.205897,-0.300906,0.993218
91,100,100,3.000000,2.000000,0.850000,1.167144,-0.226613,0.990663
92,100,100,3.000000,2.000000,0.900000,1.125440,-0.154460,0.991970
93,100,100,3.000000,2.000000,0.950000,1.079444,-0.080113,0.989344
94,100,100,3.000000,2.000000,1.000000,1.040129,-0.016701,0.991078
95,100,100,3.000000,3.000000,0.100000,3.731845,-5.014619,0.982818
96,100,100,3.000000,3.000000,0.150000,3.095102,-3.775696,0.988246
97,100,100,3.000000,3.000000,0.200000,2.715409,-3.020944,0.991881
98,100,100,3.000000,3.000000,0.250000,2.419305,-2.479328,0.992259
99,100,100,3.000000,3.000000,0.300000,2.121614,-1.966153,0.991589
100,100,100,3.000000,3.000000,0.350000,1.996793,-1.719619,0.990929
101,100,100,3.000000,3.000000,0.400000,1.861894,-1.450063,0.988533
102,100,100,3.000000,3.000000,0.450000,1.728893,-1.222101,0.985358
103,100,100,3.000000,3.000000,0.500000,1.632980,-1.039787,0.981318
104,100,100,3.000000,3.000000,0.550000,1.567776,-0.906835,0.976471
105,100,100,3.000000,3.000000,0.600000,1.487721,-0.758268,0.975948
106,100,100,3.000000,3.000000,0.650000,1.420714,-0.640157,0.974107
107,100,100,3.000000,3.000000,0.700000,1.344840,-0.513400,0.968912
108,100,100,3.000000,3.000000,0.750000,1.306723,-0.432771,0.963627
109,100,100,3.000000,3.000000,0.800000,1.240907,-0.326300,0.965085
110,100,100,3.000000,3.000000,0.850000,1.203281,-0.251712,0.955927
111,100,100,3.000000,3.000000,0.900000,1.154997,-0.173461,0.963682
112,100,100,3.000000,3.000000,0.950000,1.107037,-0.096923,0.957676
113,100,100,3.000000,3.000000,1.000000,1.068978,-0.033051,0.955996
114,100,100,4.000000,1.000000,0.100000,3.785902,-5.101039,0.985459
115,100,100,4.000000,1.000000,0.150000,2.979608,-3.610458,0.990878
116,100,100,4.000000,1.000000,0.200000,2.577314,-2.855224,0.990862
117,100,100,4.000000,1.000000,0.250000,2.278981,-2.305318,0.994764
118,100,100,4.000000,1.000000,0.300000,2.061287,-1.898650,0.995201
