,m,n,snr,snr2,p,nsspecfit_slope,nsspecfit_intercept,nsspecfit_r2
0,100,500,2.000000,1.500000,0.100000,3.457307,-3.498256,0.995848
1,100,500,2.000000,1.500000,0.150000,2.838540,-2.632724,0.996981
2,100,500,2.000000,1.500000,0.200000,2.464294,-2.105611,0.997621
3,100,500,2.000000,1.500000,0.250000,2.190550,-1.726755,0.998027
4,100,500,2.000000,1.500000,0.300000,1.977026,-1.437900,0.997813
5,100,500,2.000000,1.500000,0.350000,1.834446,-1.241085,0.997766
6,100,500,2.000000,1.500000,0.400000,1.710287,-1.068056,0.997882
7,100,500,2.000000,1.500000,0.450000,1.582102,-0.897693,0.997397
8,100,500,2.000000,1.500000,0.500000,1.518741,-0.799139,0.995961
9,100,500,2.000000,1.500000,0.550000,1.436949,-0.684045,0.993169
10,100,500,2.000000,1.500000,0.600000,1.365864,-0.577768,0.992349
11,100,500,2.000000,1.500000,0.650000,1.314165,-0.495478,0.988481
12,100,500,2.000000,1.500000,0.700000,1.268196,-0.419760,0.986710
13,100,500,2.000000,1.500000,0.750000,1.227553,-0.348784,0.985625
14,100,500,2.000000,1.500000,0.800000,1.181337,-0.273459,0.981772
15,100,500,2.000000,1.500000,0.850000,1.145517,-0.210774,0.978116
16,100,500,2.000000,1.500000,0.900000,1.115216,-0.154099,0.974041
17,100,500,2.000000,1.500000,0.950000,1.085896,-0.097691,0.966545
18,100,500,2.000000,1.500000,1.000000,1.060840,-0.047544,0.965284
19,100,500,3.000000,2.000000,0.100000,3.605330,-3.665330,0.994380
20,100,500,3.000000,2.000000,0.150000,2.918163,-2.711653,0.996252
21,100,500,3.000000,2.000000,0.200000,2.525789,-2.162967,0.996422
22,100,500,3.000000,2.000000,0.250000,2.250150,-1.787841,0.995173
23,100,500,3.000000,2.000000,0.300000,2.040342,-1.496577,0.993070
24,100,500,3.000000,2.000000,0.350000,1.889617,-1.291786,0.988498
25,100,500,3.000000,2.000000,0.400000,1.737603,-1.090653,0.986863
26,100,500,3.000000,2.000000,0.450000,1.631824,-0.942712,0.984245
27,100,500,3.000000,2.000000,0.500000,1.534590,-0.809241,0.977249
28,100,500,3.000000,2.000000,0.550000,1.471964,-0.712329,0.968390
