,m,n,p,snr,nsspecfit_slope,nsspecfit_intercept,nsspecfit_r2
161,10,50,0.9,2.0,1.1767058263937726,-0.18025926935771652,0.9693616125245429
162,10,50,0.9,3.0,1.1722851334536935,-0.1766490534201083,0.9711004068743705
163,10,50,0.9,4.0,1.1589572247776923,-0.171665490761568,0.9610396134022228
164,10,50,0.9,5.0,1.1632330460735822,-0.16357940461688036,0.9554494119183605
165,10,50,0.9,6.0,1.1778749450383763,-0.1859788781150807,0.9733810223647353
166,10,50,0.9,7.0,1.204939605765888,-0.2094139134478517,0.9590783998517383
167,10,50,0.9,8.0,1.1917329527235665,-0.19836807019269737,0.958113634864797
168,10,50,0.9,9.0,1.1239494947959052,-0.12649292004987062,0.9675484886672049
169,10,50,0.9,10.0,1.1678487548038707,-0.17114137617351086,0.957100139108799
170,10,50,0.95,1.0,1.0623163110684584,-0.05551482383212407,0.9711533357901463
171,10,50,0.95,2.0,1.1395167999957825,-0.11958707978008457,0.9612940442024953
172,10,50,0.95,3.0,1.1131801675434472,-0.09658975678290585,0.9705934985703774
173,10,50,0.95,4.0,1.1466755416981456,-0.1198091228856331,0.9685533207618372
174,10,50,0.95,5.0,1.0815178432161072,-0.06321732337574193,0.9448800373488109
175,10,50,0.95,6.0,1.0680994043133976,-0.065565779363049,0.9736574923337018
176,10,50,0.95,7.0,1.1153830225522543,-0.09327246535701315,0.9635387254253999
177,10,50,0.95,8.0,1.106339977704252,-0.08024503198939689,0.9707509720074354
178,10,50,0.95,9.0,1.1251886550454233,-0.10811338540914935,0.9635094077282771
179,10,50,0.95,10.0,1.1342457045510117,-0.11449049401044345,0.9609953134416971
180,10,50,1.0,1.0,1.0611672490373234,-0.026969908003201613,0.977471072717146
181,10,50,1.0,2.0,1.0701610557101495,-0.027800055831574987,0.9707430968613119
182,10,50,1.0,3.0,1.0792642944738928,-0.0404608495818143,0.9727027383113549
183,10,50,1.0,4.0,1.082702926930346,-0.04907053935001278,0.9745545785880264
184,10,50,1.0,5.0,1.0976110910463297,-0.052756051384519456,0.970414948667411
185,10,50,1.0,6.0,1.08632907169994,-0.034903506719026645,0.9617033459804928
186,10,50,1.0,7.0,1.073303286315651,-0.03062594034099404,0.9711191675322908
187,10,50,1.0,8.0,1.0629474281167666,-0.024795264652627803,0.9801604092985811
188,10,50,1.0,9.0,1.0694138167596439,-0.02092905621401625,0.9585036783464018
189,10,50,1.0,10.0,1.075494057622222,-0.032592672383802104,0.9682612629601189
190,20,50,0.1,1.0,3.6490832401042588,-4.077037158557754,0.8806599141573876
191,20,50,0.1,2.0,3.6556356965115357,-4.036220219382395,0.9339363809452152
192,20,50,0.1,3.0,4.189648337389524,-4.697068926113333,0.9057144048996483
193,20,50,0.1,4.0,4.801856781867064,-5.384390627276776,0.91877616915093
194,20,50,0.1,5.0,4.075616656929551,-4.524744147626729,0.9221232599471623
195,20,50,0.1,6.0,5.005937099541585,-5.684856337596371,0.9221451838835909
196,20,50,0.1,7.0,5.563034660004738,-6.21361967754183,0.9430714591672306
197,20,50,0.1,8.0,6.377550075182489,-7.376539361461181,0.8820945258783807
198,20,50,0.1,9.0,7.116704286282572,-8.130106636476025,0.9353052249880929
199,20,50,0.1,10.0,7.362805297044332,-8.439278170757897,0.9020823037013177
200,20,50,0.15,1.0,2.8029862843264786,-2.786306389718098,0.9306257319475092
201,20,50,0.15,2.0,2.889947617209282,-2.894731359769289,0.9500840584749028
202,20,50,0.15,3.0,3.4327000596256214,-3.511674009862682,0.9292480818685733
203,20,50,0.15,4.0,3.2480317644537515,-3.3054867427866887,0.9431376411553483
204,20,50,0.15,5.0,3.63858438950139,-3.6963569059505614,0.9425989176960157
205,20,50,0.15,6.0,4.087920498251768,-4.247943156812688,0.9609878965916945
206,20,50,0.15,7.0,3.8974264039798476,-3.941836217666051,0.9365420022788342
207,20,50,0.15,8.0,4.157811644136327,-4.3035563804712975,0.95108233342494
208,20,50,0.15,9.0,4.4247160700440755,-4.562454132473286,0.956670274765297
209,20,50,0.15,10.0,4.517730053730669,-4.71273944409601,0.9426881859293073
210,20,50,0.2,1.0,2.439688030410647,-2.2693403948735353,0.9681071273954609
211,20,50,0.2,2.0,2.6419090331495343,-2.457516409181571,0.9510403254389667
212,20,50,0.2,3.0,2.6803662800187205,-2.455310332964987,0.9578921241489595
213,20,50,0.2,4.0,2.8778406075923515,-2.686331850559151,0.9715658231542074
214,20,50,0.2,5.0,3.2429132343913816,-3.072319459068992,0.9568288198748609
215,20,50,0.2,6.0,3.399579462203184,-3.299771393149809,0.9449265828073965
216,20,50,0.2,7.0,3.464895362538466,-3.3334421702392456,0.9519257767015447
217,20,50,0.2,8.0,3.135716878666769,-2.925971491657138,0.9222408276462379
218,20,50,0.2,9.0,3.2994954853495337,-3.1532437487035323,0.9706446267445049
219,20,50,0.2,10.0,3.6984429885043943,-3.594343411221484,0.9434985452989133
220,20,50,0.25,1.0,2.387911591387982,-2.0846182305523038,0.9624665376294061
221,20,50,0.25,2.0,2.3538523662527697,-2.0124669498900563,0.9629328384187874
222,20,50,0.25,3.0,2.537971781966374,-2.149411445578635,0.9679764251759002
223,20,50,0.25,4.0,2.610377006748938,-2.2318847018682164,0.9691069479821095
224,20,50,0.25,5.0,2.8504599494910527,-2.5766984764653156,0.9614060525899907
225,20,50,0.25,6.0,2.7731029971344925,-2.4413819476151857,0.9513281343858344
226,20,50,0.25,7.0,2.6081453649340203,-2.2525917003926432,0.9609498158128755
227,20,50,0.25,8.0,2.729651567052291,-2.394597916795753,0.9618231993830564
228,20,50,0.25,9.0,2.8554410426910146,-2.579512836163794,0.9545185055714628
229,20,50,0.25,10.0,3.0085490189745903,-2.7075377287120324,0.9602389146846028
230,20,50,0.3,1.0,1.9570077812579172,-1.4984169778764558,0.9596708468370186
231,20,50,0.3,2.0,2.0901137049141747,-1.611980895384305,0.9627688841469342
232,20,50,0.3,3.0,2.174003694313961,-1.7023403919015716,0.966823328594138
233,20,50,0.3,4.0,2.357756018891613,-1.8651715154919892,0.9674004879191186
234,20,50,0.3,5.0,2.3077581049352647,-1.8500741314647886,0.9713092085993515
235,20,50,0.3,6.0,2.2930352944950636,-1.8162394723765636,0.9702116840624037
236,20,50,0.3,7.0,2.416254580814718,-1.9325203625647294,0.9731941587724092
237,20,50,0.3,8.0,2.3462137645290797,-1.8603142944889774,0.9608101172782021
238,20,50,0.3,9.0,2.3519832535485334,-1.8528860958825646,0.967341552648854
239,20,50,0.3,10.0,2.6099364475905764,-2.1351361583366035,0.9756763318937459
240,20,50,0.35,1.0,1.8542440106240725,-1.3150720284088395,0.9757748347670138
241,20,50,0.35,2.0,1.8688098095156236,-1.3185965855045318,0.9751362539826725
242,20,50,0.35,3.0,2.069821245760964,-1.5016064995186043,0.9744691895659987
243,20,50,0.35,4.0,1.9954644253335037,-1.4246202495469131,0.9649177662178028
244,20,50,0.35,5.0,2.0538600318725266,-1.4929771220788417,0.9659148468997474
245,20,50,0.35,6.0,2.1705408161720974,-1.6349357066700292,0.9704044702886879
246,20,50,0.35,7.0,2.013899783450906,-1.4550548348009662,0.9712252320670929
247,20,50,0.35,8.0,2.1799337380587533,-1.5883379920585885,0.9636226565814978
248,20,50,0.35,9.0,2.121760757582445,-1.545918163353741,0.9636162003062261
249,20,50,0.35,10.0,2.1099343476316355,-1.5234495828138064,0.9746382156329183
250,20,50,0.4,1.0,1.724160023225475,-1.130947898263591,0.9699956940970693
251,20,50,0.4,2.0,1.7294513278493988,-1.0739272878291215,0.9742423903430115
252,20,50,0.4,3.0,1.859096961097149,-1.2425027357085598,0.976084225054602
253,20,50,0.4,4.0,1.866035731999751,-1.2391608614904754,0.9738914311847621
254,20,50,0.4,5.0,1.9426873163303757,-1.3161737131812503,0.975642508334364
255,20,50,0.4,6.0,1.909828005910311,-1.2744021277573299,0.9688996392803
256,20,50,0.4,7.0,1.9243207745906576,-1.2860832509189801,0.9740177566911937
257,20,50,0.4,8.0,1.9651702149482504,-1.3404142287237082,0.977086253950981
258,20,50,0.4,9.0,1.9654522322559824,-1.3117485887737406,0.9778094223410372
259,20,50,0.4,10.0,2.074141680175824,-1.4488140570998123,0.9798475616741623
260,20,50,0.45,1.0,1.6017515900841732,-0.9470277326431678,0.9819948331584218
261,20,50,0.45,2.0,1.7309936010023956,-1.056814857053451,0.9788944955777051
262,20,50,0.45,3.0,1.6759755042079956,-0.9970987903176214,0.9798615549558216
263,20,50,0.45,4.0,1.7747890607587842,-1.097324080329826,0.9742698049198124
264,20,50,0.45,5.0,1.8499761737589921,-1.180880374326795,0.9749271232896474
265,20,50,0.45,6.0,1.8134949851543283,-1.1471281215632165,0.9803029661217451
266,20,50,0.45,7.0,1.6846484910570445,-0.9942596844052225,0.9817236781673377
267,20,50,0.45,8.0,1.789593427083161,-1.0871550456474166,0.9770637776155222
268,20,50,0.45,9.0,1.8710715909864348,-1.1742829680248639,0.9788045078691038
269,20,50,0.45,10.0,1.8002821086688008,-1.0927524787507434,0.9847335921946183
270,20,50,0.5,1.0,1.4278995982541771,-0.7231115742259047,0.9853012510974603
271,20,50,0.5,2.0,1.5254568439432363,-0.7965349166561628,0.9793148107821494
272,20,50,0.5,3.0,1.7413620784007702,-1.0017673430459273,0.9798918151686961
273,20,50,0.5,4.0,1.6292146575462187,-0.8999729597133882,0.978552171575285
274,20,50,0.5,5.0,1.6063152769323303,-0.8668835347073683,0.981183093773839
275,20,50,0.5,6.0,1.6354698578590483,-0.8912368303506216,0.977957648288441
276,20,50,0.5,7.0,1.6921585623019735,-0.9402277500488484,0.9722502406730733
277,20,50,0.5,8.0,1.714214763525409,-0.9767312187803945,0.9801263503335687
278,20,50,0.5,9.0,1.6776066450305596,-0.9255400801348357,0.9779260591119753
279,20,50,0.5,10.0,1.7173666785572455,-0.9694174444482172,0.9805290418659407
280,20,50,0.55,1.0,1.4267677463903152,-0.6634385105468409,0.9820988183877322
281,20,50,0.55,2.0,1.491610204695311,-0.7278699450535219,0.9802958915421668
282,20,50,0.55,3.0,1.5022230704320847,-0.7315445526176442,0.9846482782811427
283,20,50,0.55,4.0,1.5200145858831606,-0.7446768990615655,0.9810282544230755
284,20,50,0.55,5.0,1.5918720993675106,-0.8230565472276664,0.9837505983017827
285,20,50,0.55,6.0,1.5582227690351143,-0.7717751495414125,0.9798069191236195
286,20,50,0.55,7.0,1.5023478505601697,-0.7309445164946612,0.9800848066441699
287,20,50,0.55,8.0,1.580960740429373,-0.8004415242087777,0.9771903377086325
288,20,50,0.55,9.0,1.6166137836561216,-0.828470335783499,0.9860395989815256
289,20,50,0.55,10.0,1.6212746053828095,-0.8471314836345565,0.983698556396706
290,20,50,0.6,1.0,1.3901714155644782,-0.5977348525058103,0.9845480820044223
291,20,50,0.6,2.0,1.4024333270942795,-0.6000025395504782,0.9816509311190718
292,20,50,0.6,3.0,1.411124056433139,-0.6011936647964944,0.983348613991752
293,20,50,0.6,4.0,1.4395506451752333,-0.6203335081352108,0.9846782822289205
294,20,50,0.6,5.0,1.4612290133452428,-0.657622438988365,0.9775893138435683
295,20,50,0.6,6.0,1.4446962846212998,-0.643360028156995,0.982939370012752
296,20,50,0.6,7.0,1.437773429151814,-0.6234676529988895,0.9863155140177572
297,20,50,0.6,8.0,1.4730911527773811,-0.655331487534438,0.9789089031343172
298,20,50,0.6,9.0,1.4630975763050764,-0.6587423965584153,0.9860169110841687
299,20,50,0.6,10.0,1.4591751558514534,-0.6524382785883548,0.9798402308057763
300,20,50,0.65,1.0,1.3051256210242315,-0.4801773435825819,0.9863371736047328
301,20,50,0.65,2.0,1.36688829247981,-0.5244720162156696,0.9841488131823546
302,20,50,0.65,3.0,1.4019521365265246,-0.5660364097763916,0.9854001239198155
303,20,50,0.65,4.0,1.3950945954317568,-0.542882035245223,0.9795884744094663
304,20,50,0.65,5.0,1.381051794932407,-0.541120713536892,0.98560303009581
305,20,50,0.65,6.0,1.3954987550113453,-0.5397709871053438,0.9830809106670371
306,20,50,0.65,7.0,1.388689714843642,-0.5390200268681162,0.9846872333466962
307,20,50,0.65,8.0,1.3444757942965269,-0.5037487215859318,0.9823792398084515
308,20,50,0.65,9.0,1.4224148252407334,-0.5829293971039977,0.9826464354188562
309,20,50,0.65,10.0,1.372603293144056,-0.5292548423417391,0.9827574842969549
310,20,50,0.7,1.0,1.2554775628979167,-0.3889310610136733,0.9852446669122358
311,20,50,0.7,2.0,1.2483041865904492,-0.37971623468288956,0.9835932531334872
312,20,50,0.7,3.0,1.297203191304472,-0.4282559475390209,0.9835843606864373
313,20,50,0.7,4.0,1.277663258833606,-0.4038414066617417,0.9846680996519508
314,20,50,0.7,5.0,1.3083295609864039,-0.4356124777014765,0.9821522211459577
315,20,50,0.7,6.0,1.3025721011194498,-0.4252631919628668,0.9813875921851551
316,20,50,0.7,7.0,1.286873719007492,-0.415593858896123,0.987125541858321
317,20,50,0.7,8.0,1.3246210700606087,-0.4387383586571275,0.987151713850175
318,20,50,0.7,9.0,1.3355418599371138,-0.44916996843360335,0.9804371551712674
319,20,50,0.7,10.0,1.3010853575002248,-0.43894067371718604,0.9863398818817235
320,20,50,0.75,1.0,1.1948103325529542,-0.3014252721309214,0.9840342840156394
321,20,50,0.75,2.0,1.2861246120753798,-0.39273312175313013,0.9890719976055118
322,20,50,0.75,3.0,1.2264598696974847,-0.33599248534285936,0.9800280511480907
323,20,50,0.75,4.0,1.286727149729135,-0.38491748090957556,0.9870618210533533
324,20,50,0.75,5.0,1.214814530363563,-0.3144654421300432,0.9838373710920637
325,20,50,0.75,6.0,1.2630221665289643,-0.3606696125510219,0.9865423840108777
326,20,50,0.75,7.0,1.2729996305678024,-0.36796136332135865,0.9869626624085841
327,20,50,0.75,8.0,1.2502217006293557,-0.3469889067138595,0.9824952689214506
328,20,50,0.75,9.0,1.2462707175273529,-0.35415975812070644,0.981946596315271
329,20,50,0.75,10.0,1.2572076198178928,-0.3526751122463634,0.9793164857658029
330,20,50,0.8,1.0,1.1653772513878118,-0.24911087689893746,0.9852391860634494
331,20,50,0.8,2.0,1.1642025419408313,-0.25002075831345405,0.9864218985590897
332,20,50,0.8,3.0,1.2094609630783006,-0.2839259841699739,0.9876741837781227
333,20,50,0.8,4.0,1.2147235916154868,-0.28513345530885925,0.9833190115830736
334,20,50,0.8,5.0,1.2025857206282713,-0.27184764466601624,0.9841259575747536
